company_name,country,hall,booth,brands,representatives,source_page_url,source_record_url
TEZAYMAK TAKIM TEZGAHLARI SAN. VE TİC. A.Ş.,Türki̇ye,7,712,,"PİNG JENG MACHINERY INDUSTRY CO LTD, CHMER-CHING HUNG MACHINERY AMD ELECTRIC INDUSTRIAL CO., LTD, FORCE ONE MACHINERY CO., LTD.",https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/tezaymak-takim-tezgahlari-san-ve-tic-as
TEZMAKSAN MAKİNA SAN VE TİC A.Ş.,Türki̇ye,8,802,Tezmaksan Makina,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/tezmaksan-makina-san-ve-tic-as
TFON MAKİNE A.Ş.,Türki̇ye,3,317B,,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/tfon-makine-as
THIELENHAUS,Germany,10,1009,,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/thielenhaus
"TIANJIN HUAQUAN INTELLIGENT COATING EQUIPMENT CO., LTD.",China,9,903A,HUAQUAN,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/tianjin-huaquan-intelligent-coating-equipment-co-ltd
TIMESAVERS INTERNATIONAL BV,Netherlands,3,310,,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/timesavers-international-bv
TİTANİT ULTRA SERT KAPLAMALAR SAN. VE TİC. LTD. ŞTİ.,Türki̇ye,11,1132,,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/titanit-ultra-sert-kaplamalar-san-ve-tic-ltd-sti
TLS LAZER ÜRÜNLERİ SAN. VE DIŞ TİC. LTD. ŞTİ.,Türki̇ye,12A,50E,,"GENTEC ELECTRO-OPTİCS, İNC",https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/tls-lazer-urunleri-san-ve-dis-tic-ltd-sti
TMT MAKİNE SANAYİ VE TİCARET LTD. ŞTİ.,Türki̇ye,11,1157,LOCKCELL,"GERARDİ SPA, SPERONI SpA, Minitor Sfida",https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/tmt-makine-sanayi-ve-ticaret-ltd-sti
"Tocho Marking Systems, Inc",Japan,11,1174A,,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/tocho-marking-systems-inc
